test_id,applicability,applicability_predicate,applicability_evidence,decision_rule_ref,decided_by,decided_at,default_status,owner_stage
BC-022,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic dynamic-analysis from ""Mutation-Based Fuzzing"") and is decided on its own merits from this repository primitives; probe DYNAMIC_TESTING PRESENT: scripts/induced-failure-readiness.sh induced failure across every declared dependency; scripts/gate-observability.sh observability gate that runs the induced-failure stage; tests/db integration suites against a provisioned database",topic:dynamic-analysis->probe:DYNAMIC_TESTING,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-023,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 11-FORMAL-PROPERTY-REGRESSION; the ID subject is not chain-specific (matched topic formal-methods from ""Formal Verification"") and is decided on its own merits from this repository primitives; probe FORMAL PRESENT: scripts/mutation-gate.sh mutation gate over the suites; tests/domain/state-machine.test.ts every legal transition with its guard satisfied and refused when not; tests/domain/illegal-transitions.test.ts the documented forbidden pairs; tests/domain/invariants.test.ts the state-machine invariants SM-1 through SM-6",topic:formal-methods->probe:FORMAL,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-012
BC-024,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 11-FORMAL-PROPERTY-REGRESSION; the ID subject is not chain-specific (matched topic formal-methods from ""Symbolic Execution"") and is decided on its own merits from this repository primitives; probe FORMAL PRESENT: scripts/mutation-gate.sh mutation gate over the suites; tests/domain/state-machine.test.ts every legal transition with its guard satisfied and refused when not; tests/domain/illegal-transitions.test.ts the documented forbidden pairs; tests/domain/invariants.test.ts the state-machine invariants SM-1 through SM-6",topic:formal-methods->probe:FORMAL,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-012
BC-025,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 11-FORMAL-PROPERTY-REGRESSION; the ID subject is not chain-specific (matched topic formal-methods from ""Model Checking"") and is decided on its own merits from this repository primitives; probe FORMAL PRESENT: scripts/mutation-gate.sh mutation gate over the suites; tests/domain/state-machine.test.ts every legal transition with its guard satisfied and refused when not; tests/domain/illegal-transitions.test.ts the documented forbidden pairs; tests/domain/invariants.test.ts the state-machine invariants SM-1 through SM-6",topic:formal-methods->probe:FORMAL,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-012
BC-026,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 11-FORMAL-PROPERTY-REGRESSION; the ID subject is not chain-specific (matched topic formal-methods from ""Theorem Proving"") and is decided on its own merits from this repository primitives; probe FORMAL PRESENT: scripts/mutation-gate.sh mutation gate over the suites; tests/domain/state-machine.test.ts every legal transition with its guard satisfied and refused when not; tests/domain/illegal-transitions.test.ts the documented forbidden pairs; tests/domain/invariants.test.ts the state-machine invariants SM-1 through SM-6",topic:formal-methods->probe:FORMAL,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-012
BC-027,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-012
BC-028,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 11-FORMAL-PROPERTY-REGRESSION; the ID subject is not chain-specific (matched topic formal-methods from ""Bounded Model Checking"") and is decided on its own merits from this repository primitives; probe FORMAL PRESENT: scripts/mutation-gate.sh mutation gate over the suites; tests/domain/state-machine.test.ts every legal transition with its guard satisfied and refused when not; tests/domain/illegal-transitions.test.ts the documented forbidden pairs; tests/domain/invariants.test.ts the state-machine invariants SM-1 through SM-6",topic:formal-methods->probe:FORMAL,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-012
BC-029,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 11-FORMAL-PROPERTY-REGRESSION; the ID subject is not chain-specific (matched topic formal-methods from ""Abstract Interpretation"") and is decided on its own merits from this repository primitives; probe FORMAL PRESENT: scripts/mutation-gate.sh mutation gate over the suites; tests/domain/state-machine.test.ts every legal transition with its guard satisfied and refused when not; tests/domain/illegal-transitions.test.ts the documented forbidden pairs; tests/domain/invariants.test.ts the state-machine invariants SM-1 through SM-6",topic:formal-methods->probe:FORMAL,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-012
BC-030,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 03-STATIC-DESIGN-SUPPLY-CHAIN; the ID subject is not chain-specific (matched topic static-analysis from ""Manual Code Review"") and is decided on its own merits from this repository primitives; probe STATIC_ANALYSIS PRESENT: scripts/lint.sh static lint stage; scripts/security-check.sh security contract suites and scans; scripts/reality-gate.sh placeholder and simulation scan",topic:static-analysis->probe:STATIC_ANALYSIS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-031,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 19-EXTERNAL-HUMAN; the ID subject is not chain-specific (matched topic audit-integrity from ""Expert Security Audit"") and is decided on its own merits from this repository primitives; probe AUDIT PRESENT: src/adapters/persistence 2 audit-path module(s); config/alerts/catalogue.json audit-related alert rows",topic:audit-integrity->probe:AUDIT,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-021
BC-032,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-021
BC-033,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 03-STATIC-DESIGN-SUPPLY-CHAIN; the ID subject is not chain-specific (matched topic architecture-review from ""Architecture Review"") and is decided on its own merits from this repository primitives; probe ARCH_DOCS PRESENT: ARCHITECTURE.md declared component structure; DECISIONS.md recorded decisions and open ADRs; ASSUMPTIONS.md declared assumptions",topic:architecture-review->probe:ARCH_DOCS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-034,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-035,SKIPPED_NOT_APPLICABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID names a chain-specific subject; probe BLOCKCHAIN ABSENT: no blockchain, chain, wallet, contract or on-chain implementation exists: 0 of 250 implementation file(s) under src/, ui/ and db/ import a matching module (708 import specifier(s) read) and 0 of 11 runtime dependencies match",topic:blockchain-specific->probe:BLOCKCHAIN(absent),scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-036,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-021
BC-037,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-038,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic dynamic-analysis from ""Exploit Simulation"") and is decided on its own merits from this repository primitives; probe DYNAMIC_TESTING PRESENT: scripts/induced-failure-readiness.sh induced failure across every declared dependency; scripts/gate-observability.sh observability gate that runs the induced-failure stage; tests/db integration suites against a provisioned database",topic:dynamic-analysis->probe:DYNAMIC_TESTING,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-039,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-040,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-041,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-042,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-043,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 03-STATIC-DESIGN-SUPPLY-CHAIN; the ID subject is not chain-specific (matched topic architecture-review from ""Threat Modeling"") and is decided on its own merits from this repository primitives; probe ARCH_DOCS PRESENT: ARCHITECTURE.md declared component structure; DECISIONS.md recorded decisions and open ADRs; ASSUMPTIONS.md declared assumptions",topic:architecture-review->probe:ARCH_DOCS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-044,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-045,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-046,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 03-STATIC-DESIGN-SUPPLY-CHAIN; the ID subject is not chain-specific (matched topic code-analysis from ""Data Flow Diagram (DFD) Analysis"") and is decided on its own merits from this repository primitives; probe STATIC_ANALYSIS PRESENT: scripts/lint.sh static lint stage; scripts/security-check.sh security contract suites and scans; scripts/reality-gate.sh placeholder and simulation scan",topic:code-analysis->probe:STATIC_ANALYSIS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-047,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-048,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-049,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-050,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-051,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-052,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-053,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-054,CONDITIONALLY_APPLICABLE_PENDING_EVIDENCE,conditional,"no chain-specific subject is named and no repository topic matches the title, so the decision is deliberately withheld rather than assumed; EVIDENCE REQUEST: name the repository construct this BC ID targets",bc:no-topic-match,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-055,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 03-STATIC-DESIGN-SUPPLY-CHAIN; the ID subject is not chain-specific (matched topic time from ""Timestamp Dependency Testing"") and is decided on its own merits from this repository primitives; probe TIME PRESENT: src/domain/entities.ts deadline and window entities",topic:time->probe:TIME,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-056,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 15-17-PERFORMANCE-STRESS-RECOVERY; the ID subject is not chain-specific (matched topic service from ""Denial of Service (DoS) Testing"") and is decided on its own merits from this repository primitives; probe SERVICE PRESENT: src/infrastructure/main.ts packaged entry point",topic:service->probe:SERVICE,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-016
BC-057,SKIPPED_NOT_APPLICABLE,conditional,"registry default_stage 15-17-PERFORMANCE-STRESS-RECOVERY; the ID names a chain-specific subject; probe BLOCKCHAIN ABSENT: no blockchain, chain, wallet, contract or on-chain implementation exists: 0 of 250 implementation file(s) under src/, ui/ and db/ import a matching module (708 import specifier(s) read) and 0 of 11 runtime dependencies match",topic:blockchain-specific->probe:BLOCKCHAIN(absent),scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-016
BC-058,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic dynamic-analysis from ""Delegatecall Injection Testing"") and is decided on its own merits from this repository primitives; probe DYNAMIC_TESTING PRESENT: scripts/induced-failure-readiness.sh induced failure across every declared dependency; scripts/gate-observability.sh observability gate that runs the induced-failure stage; tests/db integration suites against a provisioned database",topic:dynamic-analysis->probe:DYNAMIC_TESTING,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-059,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic persistence from ""Storage Collision Testing"") and is decided on its own merits from this repository primitives; probe PERSISTENCE PRESENT: db/migrations 34 migration(s); src/adapters/persistence",topic:persistence->probe:PERSISTENCE,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-060,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic crypto from ""Signature Replay Attack Testing"") and is decided on its own merits from this repository primitives; probe CRYPTO PRESENT: src/adapters/crypto/local-key-provider.ts key material and signing primitives; src/application/security/webhook-gate.ts webhook signature verification; src/adapters/persistence/webhook-bindings.ts stored webhook bindings",topic:crypto->probe:CRYPTO,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-061,SKIPPED_NOT_APPLICABLE,conditional,"registry default_stage 15-17-PERFORMANCE-STRESS-RECOVERY; the ID names a chain-specific subject; probe BLOCKCHAIN ABSENT: no blockchain, chain, wallet, contract or on-chain implementation exists: 0 of 250 implementation file(s) under src/, ui/ and db/ import a matching module (708 import specifier(s) read) and 0 of 11 runtime dependencies match",topic:blockchain-specific->probe:BLOCKCHAIN(absent),scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-016
